,Return,Weight (%),Player
0,backhand - down the middle - moderately deep,8.45,Rafael Nadal
1,forehand - down the middle - moderately deep,5.9,Rafael Nadal
2,backhand - down the middle - verry deep,4.89,Rafael Nadal
3,backhand - down the middle,4.84,Rafael Nadal
4,forehand - down the middle,4.6,Rafael Nadal
0,forehand - down the middle - moderately deep,6.1,Roger Federer
1,backhand - down the middle - moderately deep,5.41,Roger Federer
2,backhand - to a right-handers backhand - moderately deep,4.23,Roger Federer
3,forehand - down the middle,4.0,Roger Federer
4,backhand slice - to a right-handers backhand - moderately deep,3.95,Roger Federer
0,backhand - down the middle - moderately deep,7.7,Novak Djokovic
1,forehand - down the middle - moderately deep,7.66,Novak Djokovic
2,backhand - to a right-handers backhand - moderately deep,5.82,Novak Djokovic
3,forehand - down the middle,4.93,Novak Djokovic
4,forehand - down the middle - verry deep,4.14,Novak Djokovic
